balas_max_branch : 6
balas_max_singl : 2
solver : balasbcrule1
MIP_cuts_factor : 0
Instance;Presolver time;Solver time;Obj val;Best obj val;MIP gap;Node total;Node left
scpnre1_red;0.01;190.69;29.0;29.0;0.0;86729.2;0.0
scpnre2_red;0.01;1960.9;30.0;30.0;0.0;1083208.0;0.0
scpnre3_red;0.01;90.38;27.0;27.0;0.0;22023.6;0.0
scpnre4_red;0.01;134.54;28.0;28.0;0.0;41029.2;0.0
scpnre5_red;0.01;68.74;28.0;28.0;0.0;27748.2;0.0
scpnrf1_red;0.01;245.22;14.0;14.0;0.0;168383.4;0.0
scpnrf2_red;0.01;106.39;15.0;15.0;0.0;65470.0;0.0
scpnrf3_red;0.01;101.24;14.0;14.0;0.0;43370.2;0.0
scpnrf4_red;0.01;678.97;14.0;14.0;0.0;488393.6;0.0
scpnrf5_red;0.01;3073.02;13.8;12.48;9.45;2566319.2;359237.2
scpnrg1_red;0.02;3600.01;176.0;170.41;3.18;118756.6;75902.8
scpnrg2_red;0.01;3600.01;154.8;151.21;2.32;154678.6;83600.2
scpnrg3_red;0.02;3600.0;167.0;157.38;5.76;112174.0;92202.0
scpnrg4_red;0.02;3600.0;168.0;159.3;5.18;93332.0;53506.0
scpnrg5_red;0.01;3600.01;168.4;158.45;5.91;96405.4;71390.4
scpnrh1_red;0.03;3600.0;65.0;53.36;17.91;81866.8;71481.4
scpnrh2_red;0.03;3600.01;64.6;54.06;16.31;90747.6;77679.2
scpnrh3_red;0.02;3600.0;60.8;50.38;17.13;90341.8;76717.6
scpnrh4_red;0.03;3600.01;58.8;49.12;16.46;103517.0;90105.6
scpnrh5_red;0.02;3600.01;56.0;47.97;14.32;110160.2;92256.8

