balas_max_branch : 8
balas_max_singl : 2
solver : balasbcrule1-sparse
MIP_cuts_factor : 0
Instance;Presolver time;Solver time;Obj val;Best obj val;MIP gap;Node total;Node left
scpnre1_red;0.02;216.83;29.0;29.0;0.0;38206.8;0.0
scpnre2_red;0.02;1820.35;30.0;30.0;0.0;364074.4;0.0
scpnre3_red;0.01;128.99;27.0;27.0;0.0;18927.2;0.0
scpnre4_red;0.02;164.38;28.0;28.0;0.0;25032.8;0.0
scpnre5_red;0.02;63.35;28.0;28.0;0.0;8270.8;0.0
scpnrf1_red;0.01;139.93;14.0;14.0;0.0;24664.8;0.0
scpnrf2_red;0.01;119.86;15.0;15.0;0.0;19427.4;0.0
scpnrf3_red;0.01;109.54;14.0;14.0;0.0;14699.2;0.0
scpnrf4_red;0.01;399.77;14.0;14.0;0.0;65887.2;0.0
scpnrf5_red;0.01;1701.49;13.0;13.0;0.0;327632.0;0.0
scpnrg1_red;0.01;3600.02;176.0;169.12;3.91;56097.8;35440.6
scpnrg2_red;0.02;3600.01;154.6;150.58;2.6;81699.6;45690.0
scpnrg3_red;0.02;3600.01;167.8;156.5;6.73;62684.2;51315.0
scpnrg4_red;0.02;3600.03;170.4;158.34;7.07;51763.4;39266.6
scpnrg5_red;0.02;3600.03;168.6;157.69;6.47;54118.0;41545.6
scpnrh1_red;0.03;3600.04;65.0;52.92;18.58;45013.8;39231.2
scpnrh2_red;0.02;3600.03;64.4;53.6;16.76;46199.0;38755.6
scpnrh3_red;0.03;3600.02;61.0;49.94;18.13;47034.6;40187.8
scpnrh4_red;0.02;3600.02;59.0;48.73;17.41;54182.6;48787.0
scpnrh5_red;0.03;3600.02;56.2;47.5;15.47;57942.8;48687.6
