balas_max_branch : 6
balas_max_singl : 2
solver : balasbcrule1-sparse
MIP_cuts_factor : 0
Instance;Presolver time;Solver time;Obj val;Best obj val;MIP gap;Node total;Node left
scpnre1_red;0.01;247.69;29.0;29.0;0.0;38841.4;0.0
scpnre2_red;0.01;2311.04;30.0;30.0;0.0;297641.6;0.0
scpnre3_red;0.01;174.91;27.0;27.0;0.0;23458.8;0.0
scpnre4_red;0.01;180.93;28.0;28.0;0.0;26730.6;0.0
scpnre5_red;0.01;60.52;28.0;28.0;0.0;8279.4;0.0
scpnrf1_red;0.01;134.1;14.0;14.0;0.0;24664.8;0.0
scpnrf2_red;0.01;116.01;15.0;15.0;0.0;19427.4;0.0
scpnrf3_red;0.01;102.34;14.0;14.0;0.0;14699.2;0.0
scpnrf4_red;0.01;353.92;14.0;14.0;0.0;65887.2;0.0
scpnrf5_red;0.01;1658.74;13.0;13.0;0.0;327632.0;0.0
scpnrg1_red;0.02;3600.03;176.0;169.04;3.96;51374.6;33833.4
scpnrg2_red;0.02;3600.03;154.6;150.44;2.69;73946.2;43766.0
scpnrg3_red;0.02;3600.03;167.6;156.28;6.75;55365.2;44862.6
scpnrg4_red;0.01;3600.06;170.8;158.13;7.42;44764.2;35219.6
scpnrg5_red;0.02;3600.03;168.8;157.5;6.69;48997.6;38422.6
scpnrh1_red;0.03;3600.03;65.2;52.91;18.83;45390.4;39639.4
scpnrh2_red;0.03;3600.03;64.6;53.6;17.02;45928.0;39620.6
scpnrh3_red;0.03;3600.02;60.6;49.96;17.55;49204.0;40120.2
scpnrh4_red;0.03;3600.03;59.0;48.76;17.34;56940.2;50737.8
scpnrh5_red;0.03;3600.02;55.8;47.49;14.87;57990.0;46045.6
